,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2017-11-01,-0.01384083044982698,-0.012975778546712835,0.2030933468428767,62761.5,449376.4283006266,3244,365283035,252479094,1394664,1191402,11317386,10383750,16311723,14452364,47877804,39368371,33449746,24136330,20117489,18840520,23799627,14805186,211014596,129301171
1,000002,2017-11-01,0.006560773480662974,0.015538674033149125,0.48657118846843067,154960.0,894741.4545830454,3547,732159548,699985583,302772,493152,8085619,8543292,18118849,19730417,51490684,44622205,50026035,39356038,41604447,32196634,37609061,28243355,524922081,526800490
2,000004,2017-11-01,0.0038151759220008685,0.005934718100890191,1.3881425525117188,11717.5,118012.12493722368,288,3107622,4412339,269557,305265,1196647,852327,708443,692780,428923,824920,504052,0,0,320355,0,0,0,1416692
3,000005,2017-11-01,-0.010570824524313016,-0.008456659619450302,0.17412069057635982,7080.0,75254.572934737,738,12214835,7849165,825542,827184,2701542,2304442,2148572,923630,1890967,1255953,872756,479460,0,1061015,1372709,495521,2402747,501960
4,000008,2017-11-01,0.0010928961748633004,-0.003278688524590234,0.25959106054138065,11921.0,138024.26590475338,1243,31942984,15913810,1480392,949283,7327953,3672319,3801533,3015760,4842453,2932194,1051196,990882,1089215,1390863,1333954,904442,11016288,2058067
5,000009,2017-11-01,-0.0085784313725491,-0.009803921568627416,0.19446242376432205,12944.0,164680.30943175673,1762,67087036,35334357,1781505,1562114,7337335,6265034,7512295,5780209,10394700,7479986,7054417,3138470,5944162,1078741,4282175,3173127,22780447,6856676
6,000010,2017-11-01,0.0,0.006644518272425293,0.12156468970805402,18120.0,108065.10489815689,2458,58705393,65135279,1624515,1827854,11734954,11997397,10823067,12467129,11298160,12133431,7541486,8669430,3534515,4240896,2138549,2321579,10010147,11477563
7,000011,2017-11-01,0.011855670103092741,0.004123711340206171,0.4207345353575118,27174.0,106574.11299529628,2126,64137591,63689781,1372635,1725052,10497680,11641499,12462390,12933573,15086961,14291165,6676780,7838235,3764254,3889730,3466595,3815728,10810296,7554799
8,000012,2017-11-01,-0.006024096385542244,-0.0036144578313254128,0.22920490098402008,9086.0,148801.82996302337,1312,32665656,21517930,1250479,1584430,5909656,4599048,3268936,3450961,2345837,4210802,2551654,1477523,2409761,1703294,1445649,0,13483684,4491872
9,000014,2017-11-01,-0.007250755287009136,-0.008459214501510659,0.7287339872982233,8180.0,65902.62414319994,515,5940390,6132089,515461,858228,1779256,1614421,1705314,955191,844365,106795,455614,738769,0,0,0,821000,640380,1037685
