,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2017-12-15,-0.013953488372092981,-0.006976744186046546,0.1739458670343632,104878.0,814615.6733615682,5505,896926669,844767150,1121440,1175099,15865981,20002766,27268170,33019907,62000594,77710187,57170999,58920526,53883092,46176241,43681579,42080206,635934814,565682218
1,000002,2017-12-15,-0.03353253652058441,-0.026228419654714563,0.3893271858284393,97251.0,493955.7849941334,5988,703304726,685355854,1016739,1414570,16585713,21677425,35287654,47227638,73463543,83620480,63738603,75396978,68349115,60607520,46895739,40088353,397967620,355322890
2,000004,2017-12-15,0.015825491873396214,0.019674935842600494,0.5311458160495081,12060.0,67229.95859478264,1939,32778655,28196855,2153096,1949722,10038848,7165360,6943982,5772011,4779326,6067018,2379218,1725623,312000,1689700,1866094,0,4306091,3827421
3,000005,2017-12-15,-0.004761904761904856,-0.0071428571428572285,0.14566902270139534,4598.0,45959.79614895277,831,9788480,4966486,1090883,554633,4045958,1327948,1438235,693883,766106,800510,815447,717009,1122862,363514,0,0,508989,508989
4,000008,2017-12-15,0.01090909090909098,0.0060606060606061,0.2502102588410423,5802.0,43673.57993960473,1087,11956923,10147376,1172031,1179740,3904203,2640159,1912429,2597151,1782245,1764382,1774697,1577724,1411318,388220,0,0,0,0
5,000009,2017-12-15,0.004132231404958775,0.004132231404958775,0.13813440490844472,10920.0,150675.52324190136,2765,60604433,75137977,1584935,3156571,7169628,13816495,6075465,12369476,13109916,12882169,6867554,11509606,3576801,2422161,1307961,2134191,20912173,16847308
6,000010,2017-12-15,0.020183486238531945,0.0183486238532109,0.0894007501097118,14313.0,77617.58833643704,3726,65718358,71310752,3117040,3162728,16999061,16864998,15147037,14511176,13872540,15440626,7381729,7476141,4978035,3071167,938765,2319839,3284151,8464077
7,000011,2017-12-15,0.003512880562061005,-0.0011709601873536313,0.3843434585022807,17010.0,70605.0804628662,1976,37317640,32285636,1649075,1630571,10342933,9133539,7227858,6493338,7715063,7181829,2361663,3793893,2439937,1322225,1723659,1693173,3857452,1037068
8,000012,2017-12-15,-0.044520547945205546,-0.03082191780821908,0.13174646410574375,27680.0,231164.60268175925,4427,220856037,160527606,2794436,3406784,21249974,21414177,26492090,21909857,33555127,25996492,27646067,19811800,15898184,13296311,27057439,14245710,66162720,40446475
9,000014,2017-12-15,0.004125412541254203,0.004950495049504955,0.45020114192529165,6075.0,33416.96084264077,724,6751643,6085910,1029087,476813,2780843,2267422,1484141,1272445,1120080,1731738,0,0,337492,337492,0,0,0,0
10,000016,2017-12-15,-0.016393442622950727,-0.014754098360655665,0.15567515990063546,10800.0,107552.84653956699,1536,32205321,23086668,1486305,1058997,7005616,4733156,8275153,4615790,6474095,3713609,2807949,1531573,1532781,1831343,1330471,938477,3292951,4663723
11,000017,2017-12-15,0.0121212121212122,0.0,0.34410056472316247,6600.0,35559.64441886108,367,3183802,2925802,421140,347889,986034,1187729,518269,453111,808921,405873,449438,531200,0,0,0,0,0,0
12,000018,2017-12-15,-0.0029761904761904656,0.0044642857142858094,0.1437959519187412,6690.0,52995.57546313632,2185,25872536,28415784,1200483,3823067,7053388,7390611,4228407,3669270,4892094,7367478,3421680,2590687,5076484,2624611,0,950060,0,0
13,000020,2017-12-15,-0.00596026490066226,-0.0033112582781456013,0.41138478547517027,9174.0,58598.921450564034,1348,19824645,13470271,1327409,1411714,5913368,4419991,4260801,2051883,4265661,2583551,980470,423250,0,0,424974,1338642,2651962,1241240
14,000021,2017-12-15,0.01783840503672618,-0.0031479538300104304,0.13834439048983413,28680.0,150929.03204051315,4754,204334117,165913684,3525835,2349427,20572889,23717467,28803211,23875351,42409124,35949478,22079540,21235099,17504242,15198097,15205956,10784879,54233320,32803886
15,000023,2017-12-15,0.024680475980608074,0.03569854561480823,0.6760636775147812,21150.0,71153.91868702056,1127,23002126,22333341,901441,701071,5919579,6075666,4775051,4664965,4291791,2938858,2990114,3777166,661876,1667341,2266071,1312071,1196203,1196203
16,000025,2017-12-15,0.0030333670374114163,0.006066734074822833,0.8415128156615482,15984.0,50519.61785914361,2210,37363944,32394253,2185796,1859550,12532933,11105571,9491548,7046274,7702479,6073131,2896158,3011919,1138290,1138290,1416740,2159518,0,0
17,000026,2017-12-15,0.010185185185185075,0.0018518518518517713,0.33193245486296946,7539.0,29086.284502983155,1058,8467422,9367553,606014,1460025,3499875,4414069,2429464,1432965,1699869,1283316,232200,453178,0,324000,0,0,0,0
18,000027,2017-12-15,0.006589785831960571,0.0049423393739702615,0.1391413814050788,12200.0,89264.46765371454,1904,30722929,44225139,1759108,1637712,5391959,9277273,5743498,8439134,7734623,8790152,1540376,5185640,1590051,2215427,497553,3110401,6465761,5569400
19,000028,2017-12-15,0.002313167259786475,0.004448398576512469,1.463176366334656,11312.0,53301.559396786455,1475,17321257,19437791,813208,1910521,4643362,6892123,3151938,3861495,4217477,2645468,1828412,2239194,1068034,1034028,456516,0,1142310,854962
20,000030,2017-12-15,-0.006265664160401085,-0.0025062656641604564,0.18128320689549773,1594.0,21835.279999374412,1939,9941715,7511984,1941276,2277902,3847927,1763608,2119156,2146946,1140244,460092,893112,863436,0,0,0,0,0,0
21,000032,2017-12-15,-0.01668129938542595,-0.015803336259877065,0.26358793923834184,11260.0,67869.29504493551,1868,36728148,17520209,1632588,1584026,8386062,8116815,5772202,4193000,9208728,2463765,3330016,725465,2346362,0,437138,437138,5615052,0
22,000036,2017-12-15,-0.005701254275940593,-0.005701254275940593,0.1943291159138042,8750.0,74557.96128485897,2037,35253480,31240756,1230470,3853140,8001274,6370799,6912808,5531468,8134613,7604929,2714119,3366820,1353985,1338235,467250,467250,6438961,2708115
23,000037,2017-12-15,-0.030183727034120755,-0.027559055118110187,0.18716658937054156,18425.0,90725.08550750931,1661,41047054,25263599,802849,1498672,10647403,6392391,5681747,4527048,6806483,3418462,2586798,1654686,4790682,3908168,3583950,0,6147142,3864172
