,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2018-02-05,0.05434782608695654,0.04420289855072457,0.23169285899213515,279692.0,1218204.7742975492,3553,1070815828,1198632122,197081,361107,5068344,5715249,15359426,12662200,43076646,40809453,45910875,51816941,46071262,49109967,46912264,44481329,868219930,993675876
1,000002,2018-02-05,0.00516304347826102,0.004619565217391264,0.6223048493619668,165870.0,881673.3604536818,3501,735048556,687834733,151259,594040,5489676,12021535,14213086,21126989,30359747,46022347,42678529,52408366,39729244,44964394,35264217,34579450,567162798,476117612
2,000004,2018-02-05,0.031606217616580334,0.02849740932642497,1.0208196787766248,11766.0,164350.36126091634,357,5093791,8034547,262264,418394,1401896,1394576,1380113,1733145,1324968,1025652,270200,268000,0,390945,454350,0,0,2803835
3,000005,2018-02-05,0.0079155672823219,0.0079155672823219,0.16766056617041805,4136.0,29249.036883392397,511,2907718,3645668,375337,733716,1486354,1493491,499080,797613,0,0,546947,292600,0,328248,0,0,0,0
4,000008,2018-02-05,0.011612903225806326,-0.005161290322580614,0.2404689773121602,7720.0,77576.58374430788,1040,14259038,13683672,1238082,1075673,3949758,3144712,2793640,2556064,2319522,2983180,742518,780270,333410,1652169,402710,822604,2479398,669000
5,000009,2018-02-05,0.02051282051282044,0.025641025641025772,0.13868990679519555,8232.0,87346.31502709408,1783,26016948,32179641,2647185,1608294,5801772,5602669,4092601,3854167,5202470,6545619,2161609,4003154,1971602,1693512,438648,1381210,3701061,7491016
6,000010,2018-02-05,-0.004608294930875445,0.011520737327188835,0.1493172790095601,4330.0,33019.422910226975,846,6141080,5250157,670789,1132599,2198427,2219495,960226,1132590,1298834,326474,535404,0,0,0,477400,438999,0,0
7,000011,2018-02-05,0.02212389380530988,0.02212389380530988,0.48216157209728205,9612.0,39263.41973618371,1077,11396160,12815979,952209,1345312,3683551,5308523,3209020,3844205,1483061,1561743,1003179,221480,649140,0,416000,0,0,534716
8,000012,2018-02-05,0.014371257485030098,0.016766467065868262,0.22075600919751526,16365.0,113054.81373899123,1432,36314488,38438364,1294904,1278721,5451578,6441538,5306586,6843736,7230649,6569127,4238147,4586069,1434983,4831052,2090150,2533860,9267491,5354261
9,000014,2018-02-05,0.015238095238095273,0.02285714285714291,0.3446040778528887,9612.0,53938.12477031935,932,12874858,9534080,1025083,828319,3883357,3445310,2960227,1672625,2005715,1506654,1548172,864496,0,325500,455682,891176,996622,0
10,000016,2018-02-05,0.0166163141993958,0.031722054380664666,0.16174609603957749,16550.0,138997.99222209267,1678,53367947,43344466,1327595,1100552,7196983,7155973,8022756,6412937,8685064,7686634,5949525,6420317,4813283,4112256,1824543,3641517,15548198,6814280
