,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2017-11-02,0.015845070422535246,0.0035211267605634866,0.20941771562007847,34290.0,348222.9782906241,2945,253613031,177942016,2351828,936165,14002342,9261271,16211306,12348706,32886276,18543561,24843267,15876699,22870154,9802248,9508831,8169883,130939027,103003483
1,000002,2017-11-02,0.005119453924914641,-0.011262798634812388,0.512775670916565,75361.0,408827.04829937656,3268,356431530,304156139,954248,933943,13427596,10779748,20662008,16805929,41114853,37439577,30956909,29343744,26802945,21904289,22366149,17102727,200146822,169846182
2,000004,2017-11-02,0.002123142250530785,0.008067940552016983,1.3236556291132735,14082.0,102696.7113361376,316,4690011,8058969,285850,208113,1450414,1600293,925191,730504,909726,1162625,217120,432580,0,768776,0,471599,901710,2684479
3,000005,2017-11-02,-0.017021276595744705,-0.021276595744680993,0.15327842490265342,7376.0,57185.766045482036,941,14449866,8410976,945616,1167287,3229376,2675024,2907599,1616946,3005672,1468628,1386708,442921,1057522,1040170,485894,0,1431479,0
4,000008,2017-11-02,0.0,-0.0010905125408942062,0.21208032054054216,9170.0,113912.1950971399,1871,21270825,31172778,1304875,5056449,5230929,8660395,2234191,2724846,3401688,3158440,970572,1201871,760588,1965023,0,2329701,7367982,6076053
5,000009,2017-11-02,-0.011180124223602594,-0.013664596273291973,0.1825412972018917,15940.0,171291.70149289735,1947,63083620,53100169,1482599,1555074,8155191,7715627,9776681,6979007,11581364,7308245,7388782,5040853,3397451,3417687,6146269,2267460,15155283,18816216
6,000010,2017-11-02,-0.030050083472454192,-0.026711185308848084,0.11992489540821197,19907.0,131836.8432915504,2502,87113356,62528096,1858767,1724254,12193126,10783077,11781053,10491511,15854037,14386983,9794619,7944315,6519308,5219688,2205246,4013029,26907200,7965239
7,000011,2017-11-02,-0.025510204081632626,-0.021428571428571463,0.46070381174760733,20761.0,79764.01988731588,1812,51257830,28367097,1784689,1183020,10030334,9594131,10019730,7565234,9256361,5743070,6316570,2564194,2433894,1015768,2953543,0,8462709,701680
8,000012,2017-11-02,0.03170731707317098,0.0060975609756097615,0.21124232397992102,8220.0,88085.96170588261,1508,27632168,19192347,1830022,1317002,5801916,5068083,4262926,2859572,3482048,3151328,2510886,3262417,1003407,1366433,815864,406719,7925099,1760793
9,000014,2017-11-02,-0.015767131594905837,-0.017586416009702788,0.6702052159981882,8119.0,111206.58726755332,607,12470707,8185945,760513,661954,2470245,1567179,612572,827555,685182,902178,1619273,242844,995224,1019236,919571,925080,4408127,2039919
