,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2017-09-11,-0.013864818024263315,-0.013864818024263315,0.20823558920374577,57943.0,501986.8106720665,3076,299955992,311693903,800588,1333192,10398298,12675627,13978876,18078813,30922888,36569542,24116262,32044402,20374747,15924620,18724455,16478989,180639878,178588718
1,000002,2017-09-11,-0.012885591565794496,-0.011323701679031628,0.4326956089673134,142825.0,637822.0648828741,3507,629097084,595512579,483898,288292,9026557,9089037,20582711,20373834,47303329,44185251,44718292,30510564,43455931,32756112,28268472,24585707,435257894,433723782
2,000004,2017-09-11,0.03622303622303624,0.02238502238502238,0.7192038854145916,14993.0,101543.18021588592,1167,19826364,31824982,1018635,1049366,5152296,5937329,2898957,5726231,3201388,4439958,1994022,4141504,2384560,2083368,923600,2637255,2252906,5809971
3,000005,2017-09-11,0.014678899082568808,0.016513761467889854,0.09995809667477736,28100.0,385610.04688653554,2991,150380665,194208984,1471987,1986677,10584258,14805306,11733950,15858716,17443580,25883364,11573905,17254619,12982530,14395104,7653147,14124163,76937308,89901035
4,000007,2017-09-11,-0.009067357512953289,-0.007772020725388518,0.6665694116704863,9198.0,54683.173740231,536,7337142,6943467,218208,764086,1682024,2348426,1396634,1083675,1103252,1992220,1809677,282310,611400,0,0,472750,515947,0
5,000008,2017-09-11,0.0035714285714285587,-0.0011904761904761862,0.22479500238069855,8380.0,136230.4677261628,1397,24554831,29087898,1580193,1243945,4924558,4206971,4083737,3925637,3244528,3059328,2175980,2433873,2073594,1069240,906660,2135438,5565581,11013466
6,000009,2017-09-11,0.029284164859002093,0.026030368763557465,0.16424528440721556,66744.0,450940.97168548306,3157,245497152,325554848,1307297,1100419,11922383,12203817,19093844,17801103,34123433,40496939,30244544,28665108,20100386,21091733,19714296,28587493,108990969,175608236
7,000010,2017-09-11,0.005780346820809079,0.005780346820809079,0.16043748327982932,10460.0,86079.64596658338,1047,15898082,16137326,912962,987202,3416770,5971232,2791927,2241422,3401632,1984569,2366766,1081778,753797,310881,938600,436182,1315628,3124060
8,000011,2017-09-11,0.017619047619047645,0.02238095238095239,0.3826229466599141,71247.0,707075.6894684286,3022,303397319,325588454,535497,838417,9418277,14381759,12047474,20593303,26707755,42125923,26803666,31484758,18248493,22892976,18636087,23215686,191000070,170055632
9,000012,2017-09-11,0.0011709601873537423,-0.0023419203747072626,0.24047902607375926,12780.0,170523.62664301865,1261,38177576,25552740,1162930,1512533,5666994,4707968,5392480,3434997,4919933,4216799,4035891,2312931,1690017,3123075,1693014,870570,13616317,5373867
