,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2018-04-10,0.0362976406533575,0.015426497277676976,0.18713138532326368,69037.0,679671.6801623524,3472,447117724,442522335,1011579,389330,20420521,9981591,26407207,16286392,39483453,31178971,35179119,26336077,24910450,25057618,27719284,22207890,271986111,311084466
1,000002,2018-04-10,0.02093908629441632,0.002538071065989911,0.5308261011081694,141262.0,511282.8778111381,3528,491683341,549317199,555900,637786,6817609,8564975,22959059,21034024,51939208,47205659,48393635,44047900,45192724,36021359,38098333,28705905,277726873,363099591
2,000004,2018-04-10,-0.005777777777777771,-0.014666666666666606,1.2527374681528602,10025.0,369388.3593019457,322,3263205,1422803,378095,228025,2072979,789506,537191,405272,274940,0,0,0,0,0,0,0,0,0
3,000005,2018-04-10,-0.0053050397877983935,-0.007957559681697535,0.174764475240219,5610.0,38135.34901538008,465,4857222,3073319,347317,518220,1830629,1489176,724753,478231,1098711,587692,0,0,329220,0,0,0,526592,0
4,000006,2018-04-10,0.012482662968099856,0.00277392510402219,0.1532515153829212,8664.0,82742.36960366511,2217,37482085,36524475,2963610,1670491,8960316,8348721,6143400,6552595,7016240,6375954,4808885,1317094,2136629,2664022,878856,1391211,4574149,8204387
5,000007,2018-04-10,0.0,-0.01202263083451205,0.6273336354424816,13895.0,65886.93843134957,508,8807728,8173639,361568,469819,2740810,1994785,2049381,1129430,1765330,1822809,1251648,708270,638991,368200,0,848186,0,832140
6,000008,2018-04-10,-0.009036144578313143,-0.009036144578313143,0.15771264150275427,7265.5,101290.51780362875,1774,32534667,35268154,697334,2327102,3815227,9550115,3515766,5870953,4325081,6756741,3562897,4594031,2029597,3032261,1853744,1807183,12735021,1329768
7,000009,2018-04-10,-0.009463722397476282,-0.018927444794952675,0.14464556256160677,12500.0,199549.62294763952,1925,81508990,49216260,1559307,1597397,7504118,6875097,6414082,7675481,10338343,5794884,4580808,5616510,6243512,4073392,3552528,966892,41316292,16616607
8,000010,2018-04-10,-0.006960556844547439,-0.013921113689094988,0.15576694662735932,4280.0,82529.1531432889,766,9749580,5073315,897978,722735,2169524,1679861,1913556,680326,1689568,615918,740604,568384,311525,377091,0,429000,2026825,0
9,000011,2018-04-10,0.01049868766404205,0.006561679790026309,0.4959066822497959,13743.0,55091.213790431735,944,15278161,12076101,969984,918373,4021793,4311739,3444064,3023875,3991312,1417563,1148658,439894,307000,997855,0,966802,1395350,0
