,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2018-03-22,-0.020168067226890796,-0.01680672268907568,0.2006760667062933,84506.5,584107.262769664,3520,459333651,415497209,565789,939505,10826321,14145234,23265496,28486603,44182353,45041956,32536892,38395369,24986697,28176881,23608430,24940322,299361673,235371339
1,000002,2018-03-22,-0.019496855345911945,-0.015094339622641506,0.5457098535441305,71829.0,289155.5128639283,3397,283693479,225968055,1099400,924200,12916744,12537807,26795672,22476623,51812874,40148709,37369322,21605125,28193029,24371583,21559757,17165166,103946681,86738842
2,000004,2018-03-22,0.008888888888888946,0.0004444444444444695,1.2950084479559427,11230.0,42755.995100887536,301,3570279,4054538,303478,240359,1279486,1403836,628807,740229,916064,883854,442444,786260,0,0,0,0,0,0
3,000005,2018-03-22,0.0,0.0025510204081633514,0.16417151752140693,5305.5,33305.24142452791,570,5027500,4377812,441662,665337,1700536,1872229,876397,652815,1361924,680654,646981,506777,0,0,0,0,0,0
4,000006,2018-03-22,0.003831417624521105,-0.0025542784163474774,0.1737827211502904,18816.0,152453.4876129801,2032,75894223,50986556,1587946,1411045,10182793,8404611,8512278,10220183,12241213,10530314,9972249,5332698,3909279,5002271,5644040,1828128,23844425,8257306
5,000007,2018-03-22,-0.008275862068965467,-0.0006896551724138167,0.3998291388985532,18804.5,144244.23285151087,1316,29410889,36590714,745959,1181872,5455662,7587835,4996543,6347694,6372352,6840420,2776011,3465958,2341072,2087201,2607108,2253238,4116182,6826496
6,000008,2018-03-22,-0.004237288135593209,-0.005649717514124353,0.1857486314078269,6327.0,158822.84861868893,1454,31936859,26014252,1386936,1774934,3072102,4840997,2554148,2493888,3010421,3756622,1666270,2400604,999278,1449637,1389150,1739447,17858554,7558123
7,000009,2018-03-22,-0.0015873015873015817,0.0031746031746031633,0.15358871301795582,12115.0,93134.0909739214,1685,38819787,28314032,2077636,1073255,7483275,5582095,8093744,6099617,7231428,5472019,3030137,1957228,3684036,2651251,848144,0,6371387,5478567
8,000010,2018-03-22,-0.021321961620469176,-0.014925373134328401,0.1586830039884813,5993.0,31354.20373250229,874,10300798,4586284,975981,1043851,3976927,2002090,2674242,555614,1298098,454594,1375550,530135,0,0,0,0,0,0
9,000011,2018-03-22,0.01950912523599735,0.013845185651353065,0.44540053697941795,12896.0,71651.61922747614,1273,17759479,23445066,905760,1566071,4893751,6318488,4011858,4015917,3461980,4350609,1457058,1575293,1701530,641129,469110,1349265,858432,3628294
10,000012,2018-03-22,0.0012870012870014325,0.002574002574002643,0.2027768262173758,8547.0,79529.692183654,1469,28131168,18540852,1456166,1309086,5307550,4852474,4548732,3831579,7278945,3187531,2950194,2601115,1045273,308088,1757268,913791,3787040,1537188
11,000014,2018-03-22,0.03755868544600949,0.028169014084507005,0.3091803331892799,16425.0,73492.42716130352,1189,23822366,26188779,718268,917988,5560056,5330152,5104462,4084292,5512509,5776295,3892081,4266123,1758486,2054550,1276504,1286444,0,2472935
12,000016,2018-03-22,-0.004411764705882337,0.004411764705882337,0.1696720745053421,19575.0,137034.9326539599,1608,57339249,43373224,1117995,1224361,6827078,6936186,7782544,8045662,10038351,6619550,7159199,5423720,5020987,2742089,4377642,3499437,15015453,8882219
13,000017,2018-03-22,0.027444253859348233,0.013722126929674117,0.20635699782807235,11860.0,59529.045148775724,799,12372998,9005066,766312,613931,4020948,3007861,3123454,2222272,2454116,1872427,732168,1288575,0,0,0,0,1276000,0
14,000018,2018-03-22,0.0547945205479452,0.023972602739726234,0.1757178879658655,12348.0,186967.98752552248,1105,17819515,31409536,848737,853871,4810256,5308716,4072139,4069443,2835397,4593697,1186707,2985677,717402,1680784,891088,0,2457789,11917348
15,000020,2018-03-22,-0.023456790123456694,-0.023456790123456694,0.3500218301143604,21938.0,186272.5675786746,2149,76759997,64736747,1524951,1573474,11550308,8583598,11117726,8339470,13522025,11598703,10358648,6080911,4520100,5100835,2606676,3545967,21559563,19913789
16,000021,2018-03-22,0.013667425968109548,0.005694760820045719,0.17741394896253643,17640.0,100673.61846984964,2453,71656343,52550459,2388108,1410623,11581544,11030957,12697481,11270461,14644770,12237503,9937123,7705646,6128330,2754723,1370144,2267692,12908843,3872854
17,000023,2018-03-22,0.015641855447680708,0.01725997842502691,0.6381467747993076,9470.0,72044.15822156452,845,9069521,12261759,989979,810524,3514068,3374709,2086786,1992968,1823065,2495707,655623,1124835,0,0,0,0,0,2463016
18,000025,2018-03-22,0.004816223067173553,0.0076045627376424285,0.8514981601986445,23979.0,81079.17709510849,2148,52598236,54881917,1429518,1489301,11676053,11163050,11803787,11102695,13529162,12931318,5559059,7488586,3916095,2531659,2211788,1675964,2472774,6499344
19,000026,2018-03-22,0.009765625,0.0107421875,0.3727687425685232,10330.0,57882.80545640277,754,9256994,12257458,863544,384038,3089373,2810728,2527222,2388572,1599797,2469388,1177058,1272656,0,335340,0,1361286,0,1235450
20,000027,2018-03-22,-0.0034071550255537764,-0.0017035775127768327,0.23715528661908117,5880.0,67863.08865057206,612,9494544,5596141,869074,597529,2093639,1240357,1781359,1060867,1895871,1401814,937997,0,352200,0,0,0,1564404,1295574
21,000028,2018-03-22,-0.014713175731525863,-0.0008265829062655827,1.4694039626518804,12060.0,98428.01550942357,1702,33655255,36294147,464765,3257531,5207460,10555554,3073312,4872972,5159434,7853343,2929534,1868570,5061441,2821834,2179376,1252960,9579933,3811383
22,000030,2018-03-22,-0.012328767123287676,-0.005479452054794498,0.19095960853236946,4344.0,37254.69501462907,1464,11168611,11112587,1715105,1981623,2923580,3597648,2185894,2350846,1263977,2006850,1138298,705500,1103612,0,838145,470120,0,0
23,000032,2018-03-22,0.04056603773584899,-0.025471698113207486,0.23151589927479652,19836.0,119026.37174743233,2104,63105517,45275820,1406799,1191024,10311966,10014874,9237925,8630874,14110478,10311774,6217971,6433360,5736347,2876161,4542479,0,11541552,5817753
24,000036,2018-03-22,0.0,0.003409090909090917,0.2761752912148186,11479.0,64038.45557460184,1015,19178747,15017391,870269,1232867,4946138,4810252,3859977,2547655,3287052,3040881,1976586,1905520,2441128,1042216,917597,438000,880000,0
25,000037,2018-03-22,0.012711864406779627,0.0028248587570620654,0.28386501871268066,9327.5,37776.69651046259,622,7229480,5881066,716514,493205,3240664,2046233,2007554,1155845,1264748,1072290,0,254541,0,322848,0,0,0,536104
26,000039,2018-03-22,-0.018794914317302402,-0.00497512437810943,0.3528898030461735,16092.0,94983.31659671801,2629,67345923,38677265,2664371,1319780,16397387,9918507,10896619,9237917,13874234,9061981,5436688,3057150,4140343,2432971,1909149,1720853,12027132,1928106
27,000040,2018-03-22,0.008278145695364225,0.01738410596026485,0.34552364310527484,3693.0,55161.57091527673,1223,5583527,9986196,1541320,1967736,2286644,1766675,775189,1769941,756630,1027976,223744,280668,0,367500,0,0,0,2805700
28,000042,2018-03-22,-0.002741603838245288,-0.0034270047978067764,0.5371904722045006,2902.0,35861.93032823789,737,4966663,4254259,347727,1065841,806334,1835666,716462,772571,1099501,580181,974201,0,1022438,0,0,0,0,0
29,000043,2018-03-22,0.030066815144766057,0.00445434298440972,0.41927666243436024,8095.5,47821.46176294418,458,5819855,6381866,436007,345576,1948475,1102975,1565330,1522248,1302152,2160965,567891,943873,0,306229,0,0,0,0
30,000045,2018-03-22,0.04545454545454519,0.03863636363636358,0.22720823642148785,15878.0,97260.73276240507,1505,32565737,35021171,1182497,1558660,6744538,6822723,5627008,6663220,6762435,6028393,4172840,3849549,2716668,1357998,1394673,2325172,3965078,6415456
31,000048,2018-03-22,-0.014906832298136607,-0.0165631469979296,1.781655138962176,11925.0,61277.43984318436,183,2823020,2713411,162765,190145,881338,505772,407621,251438,663546,510172,285000,897084,0,358800,422750,0,0,0
32,000049,2018-03-22,-0.008959537572254428,0.008092485549132888,0.9258097979979752,13968.0,53449.8818133172,1397,24907848,18410518,814891,1236443,8334641,6289414,6733547,4515674,4199998,3624458,1925964,1726452,1351335,1018077,0,0,1547472,0
33,000050,2018-03-22,-0.0085784313725491,0.0006127450980391025,0.3349295528813468,22715.0,130912.69646869034,2376,80525977,57816326,1622559,1534529,13366904,10227569,14270934,9627567,16420990,14596467,8829528,6530667,5471963,7166102,4505142,3505115,16037957,4628310
34,000055,2018-03-22,0.015810276679841806,0.005270092226614009,0.19222679826377728,15070.0,88250.57898341192,1560,32236483,29038695,1369022,1393715,7400882,7078952,6935089,4272814,7546466,7633366,2588333,2427619,2033107,1979556,1371605,0,2991979,4252673
35,000058,2018-03-22,0.028787878787878807,0.0121212121212122,0.21853898827609103,9907.5,36667.65031450623,912,8735319,10262269,794640,1019611,3785829,3809906,2126244,2408568,1238260,2550996,0,473188,372804,0,417542,0,0,0
36,000059,2018-03-22,-0.009336099585062207,-0.010373443983402675,0.2720977689251311,21252.0,150664.03464051225,1255,50857054,39567393,1112819,915676,6014505,6408802,7475683,4500979,11024535,5627737,7197098,3209328,2442371,3388255,4115456,2880434,11474587,12636182
37,000060,2018-03-22,-0.007085020242915019,-0.004048582995951455,0.22539965947503204,21559.5,212635.6027615673,1922,75120110,82637764,1280886,2263471,7282500,9448849,7927250,9779790,13294827,13213334,8213495,8006646,8279065,3584616,2797304,4082953,26044783,32258105
38,000061,2018-03-22,-0.005649717514124353,0.0,0.26866832384761163,11280.0,47728.89411373927,694,9679631,7281616,643555,569802,3530348,2322318,2030022,1837071,1753282,1730752,726964,0,332760,373293,0,448380,662700,0
39,000062,2018-03-22,0.015686274509803866,0.019607843137255054,0.5508297906367617,8266.0,43917.76787105352,1372,14192659,17518745,1393715,1094553,4425756,5825095,2937461,3872328,3249312,3644324,743180,1683290,1031235,985095,412000,414060,0,0
40,000063,2018-03-22,-0.008222643896268256,-0.0012650221378874837,0.5382866161439901,109970.0,434837.38149014994,3451,448824448,395068153,650029,569309,10892258,10453328,21362844,23329735,45931003,50009763,37296443,37650375,37147333,42017809,26136887,37728474,269407651,193309360
41,000065,2018-03-22,0.0535714285714286,0.02188940092165903,0.3600191532580834,27416.0,249131.37937201784,2330,108490590,105223774,1266843,1219328,10332563,11092857,10791957,13103139,15273943,16890549,10281109,10832258,6840199,7600760,8316253,7513551,45387723,36971332
42,000066,2018-03-22,-0.0134228187919464,-0.010738255033557076,0.14913936199407588,30709.0,201188.62384030005,2500,133071594,100838857,1521332,1614160,10768605,9853087,13021748,14592091,23836417,18365159,13960081,11938571,12441479,8287834,10938254,10162946,46583678,26025009
43,000068,2018-03-22,0.0021739130434783593,-0.0021739130434782483,0.20208578395759744,2310.0,49747.968715683455,518,7049792,3811443,419920,335888,1125590,1830420,1059623,507767,2255750,698468,1262390,438900,0,0,415800,0,510719,0
44,000069,2018-03-22,-0.007159904534606243,-0.0023866348448688957,0.17337441900835326,11676.0,160653.1447088534,2340,72876261,51196632,1934643,1918746,10889270,8797326,8842871,5422723,9249834,7177278,5614160,6760094,4065912,4192896,4455826,2949485,27823745,13978084
45,000070,2018-03-22,0.01612903225806428,0.019354838709677358,0.26749684491956716,12194.0,49119.09299986641,1209,18174788,16668165,1534523,905318,5968322,5282955,5515750,4609090,2593533,3133067,1499970,1185901,0,962214,474000,0,588690,589620
46,000078,2018-03-22,-0.0016556291390728006,-0.0016556291390728006,0.13276154305034216,8512.0,85129.03224351017,2075,37287335,37338960,1862902,2273691,7644492,6918594,6473213,5270791,6115539,6633703,8102973,5141433,2691252,3635725,889815,2344064,3507149,5120959
47,000088,2018-03-22,-0.02631578947368407,-0.018421052631578894,0.23144471710388262,7500.0,77580.59654851852,1079,18569184,9994403,1660840,1034909,3898379,2535237,3200907,1959718,1797176,2300769,497232,0,373500,764572,1696931,0,5444219,1399198
48,000089,2018-03-22,-0.007117437722420017,0.0011862396204032066,0.24396067707844826,5894.0,93838.49126066356,1195,22174431,24717411,505664,1890286,2446158,2479118,2383384,9907312,4196544,6782199,2875751,990164,2826641,615459,2246195,859240,4694094,1193633
49,000090,2018-03-22,-0.0030800821355235763,0.0,0.26639635390862154,5844.0,90742.75301076377,1340,19198191,21701757,1428835,1362979,5013087,3467030,2706186,3283821,1842870,2540060,1780018,2877927,1388579,2553110,916796,488999,4121820,5127831
50,000096,2018-03-22,-0.01814058956916098,-0.0113378684807256,0.8652200186708576,9198.0,37002.35814316713,233,2621461,1862667,245513,254792,973272,796583,613624,253814,240162,291478,229250,266000,319640,0,0,0,0,0
51,000099,2018-03-22,0.019024970273483932,0.00832342449464929,0.20743605668163362,5901.0,41905.91089027567,1645,17580678,12473285,2377822,1064034,6091439,4384795,3866840,2879559,3038448,2232871,1321592,463687,0,0,884537,0,0,1448339
52,000100,2018-03-22,-0.016172506738544534,-0.016172506738544534,0.06688561251349813,28977.0,391098.0657096933,3108,213593818,169603945,1582249,1809045,13462318,14197015,14509459,15483652,20152593,23146355,17935909,9013481,10835194,13516153,14125957,10991165,120990139,81447079
53,000150,2018-03-22,-0.0029218407596784957,0.0014609203798394699,1.4271763624188394,5504.0,20571.115365855127,368,1766955,2388893,320194,607246,518223,1312821,610716,287062,317822,181764,0,0,0,0,0,0,0,0
54,000151,2018-03-22,0.03157894736842115,0.03157894736842115,0.41467454706435364,97665.0,2048632.9749878605,2106,347886269,498619592,1204041,327988,7245049,5587684,10616269,9422992,18403265,22933752,18827490,21459126,14025014,16830122,18229104,13699725,259336037,408358203
55,000153,2018-03-22,0.023255813953488413,0.014211886304909438,0.2984817730216978,7830.0,53224.14518372917,672,8323655,8378694,791512,630843,2636751,2003873,1802106,2083252,1172152,1874527,1186554,587691,734580,0,0,0,0,1198508
