,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2018-03-07,-0.008230452674897082,0.0008230452674897748,0.2054613990063162,112838.0,946187.1836577988,3500,698335423,694996675,1180017,684253,10556982,10824123,20330578,17715886,47911606,36379766,36340721,30068565,28840617,29793509,24528179,23801418,528646723,545729155
1,000002,2018-03-07,-0.01614832535885169,-0.00837320574162681,0.5655391528112209,115440.0,529783.8256589421,3497,473614324,459874168,655848,658913,9914155,10737488,20813687,21783260,44779326,46754765,46863740,42016462,39722988,33336223,34866275,25442037,275998305,279145020
2,000004,2018-03-07,-0.012753897024090799,-0.0051960321209260085,1.1069806730679939,10600.0,49713.730852910485,365,4583746,3446754,338403,277541,1594763,1465508,1071083,755253,121916,504600,746301,443852,0,0,0,0,711280,0
3,000005,2018-03-07,0.109375,0.109375,0.09946902893433528,10224.0,342111.02783743135,1495,57212627,25400470,2099272,759674,8184245,4143549,4938633,2862791,4876206,4955602,3923392,2063906,939446,2063973,1762985,458843,30488448,8092132
4,000008,2018-03-07,-0.007936507936507908,-0.006613756613756627,0.2419412461961748,7550.0,62475.751043721866,976,11364041,12042080,668341,2124681,1976680,3547397,1734551,1596149,2309889,2019373,1239606,924942,363910,1357407,431648,472131,2639416,0
5,000009,2018-03-07,-0.003278688524590123,0.004918032786885185,0.15216144358179176,12180.0,160018.01644916864,1609,36408637,40034905,1578067,1222705,6452423,6789037,4178317,7988685,6301207,6259654,1300561,3418810,1971015,2999837,1354357,1397036,13272690,9959141
6,000010,2018-03-07,-0.0021459227467810482,0.012875536480686511,0.14015114752666513,9300.0,51990.53385261734,1107,13038221,14856943,1303814,1043437,4605344,4189336,2356624,2534389,1563576,2940245,1779813,2490410,351000,709495,0,949631,1078050,0
7,000011,2018-03-07,0.013838748495788256,0.028880866425992746,0.348308789952098,26264.0,141313.9363016584,2280,69795652,73430210,1586536,1109944,11674385,9464779,12839053,13736472,17204242,14648579,8771448,7556775,6214888,5317029,4148376,5227846,7356724,16368786
8,000012,2018-03-07,-0.013496932515337567,-0.009815950920245453,0.2035920000967056,12976.0,126108.80483725075,1603,43074627,38026199,1476612,1300076,8136726,5178859,5293600,5691373,9015300,6868502,4982757,3628007,3599889,3348904,3883731,2799361,6686012,9211117
9,000014,2018-03-07,0.045454545454545414,0.07090909090909081,0.24507023280016668,18976.0,136535.0363620286,2023,49697070,54322650,1456753,1469698,9760802,10050572,8474561,8161505,9450689,11750178,5361420,6864871,1444904,3103666,2702064,3171672,11045877,9750488
10,000016,2018-03-07,0.02110389610389607,0.02110389610389607,0.14408479406122204,19746.0,151437.41570627218,1832,58937779,71932873,1395982,1211512,7259152,7418305,6683848,7196659,11722646,14926289,9650671,12820026,5895958,4905543,1257602,4020968,15071920,19433571
11,000017,2018-03-07,0.11538461538461542,0.11538461538461542,0.15663547511327472,11620.0,196030.00725696955,1220,44245415,25150281,1313412,711069,5581281,3780617,3714844,3536812,5468871,4354372,2767420,4060878,4712780,1314834,881961,408479,19804846,6983220
12,000018,2018-03-07,-0.015280135823429464,-0.008488964346349714,0.16964630082916846,5830.0,39728.80565571356,1206,14900052,9020425,1282835,713322,4875963,3120370,4075383,1356588,2753751,1869556,1562320,1338377,349800,622212,0,0,0,0
13,000020,2018-03-07,0.06333333333333324,0.06333333333333324,0.4433718997934711,25721.0,455626.0862246898,1147,63935204,50183100,1017967,491664,5375153,3951365,5100413,5299478,9162732,8691047,6819218,5442520,4795224,3231590,2592103,3036228,29072394,20039208
14,000021,2018-03-07,-0.015712682379349086,-0.006734006734006814,0.18656095635651104,19624.0,116139.2705890745,2283,69869058,52554401,1458589,2285287,10791777,11626116,13903012,9796547,14182422,9316570,8236646,4831424,5674189,3659662,3569156,3986274,12053267,7052521
15,000023,2018-03-07,0.023857868020304762,0.07208121827411174,0.41695140893502214,21185.0,114217.94020632659,2248,57508500,55774464,1841451,1147594,11645478,9541139,11684949,10156995,10021950,10240420,9317381,7500927,3054702,5693011,4860629,1682346,5081960,9812032
16,000025,2018-03-07,0.07731707317073178,0.07731707317073178,0.7774062657684978,75933.0,979616.613441463,2792,289571004,285378072,1519745,543010,12540253,7898407,18388757,14526245,31137913,30201476,23385676,26475005,19933215,26098615,19068584,13761526,163596861,165873788
17,000026,2018-03-07,0.00968054211035807,0.019361084220716362,0.33927756133161713,10520.0,75523.40812270466,927,14644640,18367230,914111,828107,3295223,3478224,2802801,2925394,2579905,3636899,2100966,2304365,2059095,1639172,892539,846675,0,2708394
18,000027,2018-03-07,0.0,0.005102040816326481,0.14893627642926283,11720.0,175791.8517948804,1561,47647333,43255907,1257124,1402861,4162223,6982392,4285736,5370464,3953893,8169897,4905820,3781347,6229884,2804511,3135871,1692823,19716782,13051612
19,000028,2018-03-07,-0.006185567010309256,-0.003951890034364358,2.4561712689542086,11632.0,58175.98219785027,561,11054703,6076399,598442,507881,2961892,2000989,2926023,1186086,1554959,1150797,1475539,215340,370432,1015306,0,0,1167416,0
20,000030,2018-03-07,-0.006561679790026198,0.006561679790026309,0.26414273573343866,9919.0,33354.830489500644,832,6663006,7310003,937487,966208,1939359,4286409,1095732,1353258,690439,704128,1228849,0,771140,0,0,0,0,0
21,000032,2018-03-07,0.0583524027459954,0.06864988558352403,0.21313936140183096,12259.0,79452.51734170874,1687,27891751,31721012,1685024,1537822,7808623,7053828,6185931,6754406,4507503,4844198,2862882,4355833,1865273,2165927,1244983,1751820,1731532,3257178
22,000036,2018-03-07,-0.006486486486486531,0.00324324324324321,0.2218165684486039,18440.0,158655.51727360525,1740,58756929,47612323,1330712,1209377,8273305,7250664,7730698,8214207,10798499,7279253,5751298,4201659,5070422,4069656,3651466,1337510,16150529,14049997
