,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2017-12-01,-0.02985074626865669,-0.022388059701492602,0.22577754143636494,171565.0,1057181.604794404,3528,810351886,766429157,543802,264224,7312017,6440501,17711715,16491109,50784484,58077017,45015931,41391943,44100964,33307413,34902384,48343714,609980589,562113236
1,000002,2017-12-01,0.0075409836065574165,0.006557377049180246,0.5126094755697066,184320.0,769081.4452300855,3546,702069779,650152521,340469,370471,7928422,7159554,18319773,19318170,43770730,41899295,51389178,46215459,49182172,51757284,46536495,31896697,484602540,451535591
2,000004,2017-12-01,0.031090121999212794,-0.0023612750885477762,0.8632609383461431,12825.0,164242.14603055702,866,17375307,9603419,485750,640214,5237262,4109053,2630841,2215965,3603604,1907617,2264994,730570,0,0,420644,0,2732212,0
3,000005,2017-12-01,0.004761904761904745,0.004761904761904745,0.208778388133054,4642.0,37148.088761673855,404,2980545,3388026,478826,464858,902464,1418337,415583,611259,381825,893572,0,0,381847,0,420000,0,0,0
4,000008,2017-12-01,0.01297169811320753,0.021226415094339535,0.2654162974383512,11284.0,107590.48785762803,1022,19527288,21440486,1049586,732141,5260124,3434977,4573337,3513718,2420224,2186945,1576195,2175610,1054134,1343650,433500,454487,3160188,7598958
5,000009,2017-12-01,-0.003942181340341633,-0.006570302233902869,0.19080380669466618,12877.5,77012.5625555394,1592,30675206,20561494,1844898,1670048,9107378,4666172,5315716,3341512,4222807,4621399,2678274,2279123,1678428,1406980,886771,400812,4940934,2175448
6,000011,2017-12-01,0.0017564402810306134,0.0011709601873537423,0.5150864401305776,13719.0,40036.863192983,1099,16120518,11075036,981977,1196800,5678341,5278426,3916273,2721299,3270839,1522471,1027019,0,655774,356040,0,0,590295,0
7,000012,2017-12-01,0.001098901098901095,0.00879120879120876,0.1802394182155964,34504.0,222221.7547984352,2553,136867307,110540626,1475904,1767661,10877474,12258203,14885383,15141159,20317282,22971249,16294953,15038983,10027707,7504826,10281084,5296732,52707520,30561813
8,000014,2017-12-01,0.012009607686148893,0.008006405124099336,0.5315072014129764,10036.0,34319.219005742714,552,4604678,6196542,712455,283885,1747807,3304570,871701,849398,919915,914081,0,463608,352800,381000,0,0,0,0
9,000016,2017-12-01,0.014195583596214423,0.011041009463722551,0.14358024855611892,18777.5,180590.06036317413,1954,60026885,76417829,993763,1532646,8036090,9252566,6034370,10442786,12144013,14507115,6021647,8137396,6216922,3657133,4143095,2665577,16436985,26222610
10,000017,2017-12-01,0.007541478129713397,0.003016591251885359,0.2906354335787006,1330.0,59090.770812246476,520,4564311,2627811,276893,595529,715401,1396494,625695,368588,366382,0,0,267200,0,0,0,0,2579940,0
11,000018,2017-12-01,-0.0013966480446927498,-0.0027932960893854997,0.1970471039783165,5012.0,70397.10345059365,1321,13346683,19794417,849810,1781234,3139150,3894060,2286417,3068038,2616323,3603441,1452096,2431467,994782,2010935,0,862947,2008105,2142295
12,000020,2017-12-01,-0.018324607329842868,-0.02945026178010468,0.4345163432830513,14840.0,59806.960991786545,1237,17354784,17716560,841466,1216144,6542343,6519060,4323222,3655852,3021622,2495466,1230227,1362193,0,0,843352,428714,552552,2039131
13,000021,2017-12-01,0.029768467475192795,0.029768467475192795,0.18687544855853863,21206.0,144408.22395313022,2359,59834762,84865850,1577280,2304014,10114569,10238288,8958397,15958005,11572111,19311371,6321756,11005212,3047875,6152794,2289000,3588387,15953774,16307779
14,000023,2017-12-01,0.009370816599732379,0.010263275323516341,1.5395773411959675,11290.0,29057.615103339296,211,2103435,1887283,172229,183619,828035,1055162,455473,501082,432238,147420,215460,0,0,0,0,0,0,0
15,000025,2017-12-01,-0.0019875776397515477,-0.0002484472049688602,1.0774996417811775,16052.0,45463.56539107832,1395,24157993,16120580,1103962,1692078,7925777,6423360,5939519,3216372,5118081,3205013,2904580,895969,670999,687788,495075,0,0,0
16,000026,2017-12-01,0.011235955056179803,0.0074906367041198685,0.520576921372586,10650.0,36182.13582846814,420,5485902,2926200,332087,393799,2371136,1552610,735494,573949,893945,405842,536250,0,616990,0,0,0,0,0
17,000027,2017-12-01,-0.0032679738562092497,-0.004901960784313819,0.21278896973835562,4263.0,72763.78235131028,827,9755554,7012981,919802,774094,2069234,1633173,996866,878841,1479566,930880,0,252954,1389138,702143,0,0,2900948,1840896
18,000028,2017-12-01,0.03379390710837349,0.03445979690361245,1.3138132579151662,18495.0,136307.33224346602,2091,53652672,61972636,2434301,1368465,8461751,12494866,7297914,7884400,7068096,9833836,4381424,5429223,6879428,5416564,1300248,1810998,15829510,17734284
19,000030,2017-12-01,0.003726708074534013,0.00248447204968949,0.2803492640673201,4851.0,39218.89509807158,824,6077547,8086875,486059,1354071,1425389,2540041,1395415,1583297,1090875,2205966,1000412,0,679397,0,0,403500,0,0
