,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2018-03-27,-0.014414414414414378,-0.011711711711711592,0.18777624746011962,92347.5,572683.6899715784,3500,449622246,404491157,459840,788872,13619903,13244655,23561747,19824146,57870624,42706592,42034443,30599329,38205561,26204741,20470167,21892120,253399961,249230702
1,000002,2018-03-27,0.00420848170929089,-0.0016186468112657781,0.5208964235308347,164060.0,738360.8771358149,3519,652581569,797660356,456752,483382,6188810,12399027,13100112,23085379,35821421,53453573,36957582,48500121,34939404,42938044,37079150,37092330,488038338,579708500
2,000004,2018-03-27,0.03237095363079634,0.0209973753280841,0.8101723199576463,13602.0,52012.2550649174,796,16822378,8072982,813517,505080,4624797,2929341,2987750,1807611,5673023,1673935,1596800,501515,670891,0,455600,0,0,655500
3,000005,2018-03-27,0.013440860215053752,0.013440860215053752,0.14174872849232859,5278.0,33122.33689238128,689,5355192,6643799,767649,721631,2137050,1868412,1361466,1366890,1089027,1740772,0,946094,0,0,0,0,0,0
4,000006,2018-03-27,0.0013736263736263687,-0.0013736263736264798,0.1656446335718509,18915.0,123836.41805315275,1934,61014765,51643395,1220627,1802965,9031109,8620204,7766167,10338037,11547322,8321977,9795202,6885048,6098416,5358135,1758519,1313901,13797403,9003128
5,000007,2018-03-27,0.06384558277654051,0.034149962880475115,0.43323252053374517,14040.0,97162.15163945906,967,14734717,20254818,762238,710257,6060541,4895035,2328868,2579051,2741534,4735701,798236,2814949,0,1371634,0,931038,2043300,2217153
6,000008,2018-03-27,0.0,0.0,0.14335981226893477,6300.0,97632.79276961772,2394,47202645,23365021,5995380,1214284,6706231,5689823,4883199,4929279,5943260,4652259,2984619,2591113,2751776,1079522,1767003,1280631,16171177,1928110
7,000009,2018-03-27,0.00836120401337781,0.00836120401337781,0.13594273360097225,10268.0,94878.65250972698,1939,33018040,39928376,1624964,1781185,6294826,9346023,4319725,6003590,7250811,7045975,4026915,5887171,2153485,1911644,0,1689776,7347314,6263012
8,000010,2018-03-27,0.018223234624145768,0.018223234624145768,0.12406706483715443,9020.0,36703.962606587804,1254,9308668,14390469,894008,1399927,3000813,8666102,2132362,1878449,1872670,1059796,228541,485052,638024,383446,0,0,542250,517697
9,000011,2018-03-27,0.00064516129032266,-0.001935483870967647,0.44119254265144153,15480.0,53536.8542380488,1234,19962140,16183268,1366389,835148,6007320,5940566,5194171,4149803,4707962,2698312,895118,757742,309200,321885,0,881522,1481980,598290
