,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2018-03-29,0.011904761904762085,-0.001831501831501825,0.1857018489029842,120782.5,515855.14715033385,3462,430643899,495286395,359209,458734,9502959,11275618,17866661,25456675,53062614,58477981,39007815,45108854,30163527,46844529,27687544,27395702,252993570,280268302
1,000002,2018-03-29,0.08306911857958132,0.06182625237793293,0.5279845224963812,291189.0,888868.1457718237,3570,838524854,1090061524,132715,176131,4611184,4144412,13774878,13372041,46038425,40452316,53522221,51794925,52662797,50932550,53235875,52589187,614546759,876599962
2,000004,2018-03-29,-0.008710801393728151,-0.004355400696864131,1.142588238147214,11310.0,21281.9515564314,403,3857806,2796550,260120,502144,2173238,1481903,1048791,568008,375657,244495,0,0,0,0,0,0,0,0
3,000005,2018-03-29,0.018181818181818077,0.0025974025974024872,0.14317122051193643,5790.0,144561.7423645568,725,16798403,8197393,611953,714956,2334724,1866685,1429823,2220453,1923920,1908792,0,205539,765792,730879,0,0,9732191,550089
4,000006,2018-03-29,0.03296703296703285,0.024725274725274637,0.15209152005802148,21900.0,215547.27458038495,2295,61571750,105283955,1321455,1783978,8077104,12379923,9601398,14233486,11442593,16020308,5173394,12301931,6225452,6987535,4483085,8447536,15247269,33129258
5,000007,2018-03-29,0.025695931477516032,0.029264810849393363,0.5018335801272438,14595.0,72782.43511031935,780,10544347,17234817,609114,510029,4159692,4947157,2146772,2379331,1392036,2716730,496572,1817317,1004731,1627518,0,1744973,735430,1491762
6,000008,2018-03-29,-0.00291545189504383,-0.014577259475218707,0.14395376721628853,6750.0,75526.2409513791,2275,35069216,16574101,5528167,1405681,6655672,4803054,4282903,2445629,4280668,2928982,2393899,1434368,3871400,0,403800,0,7652707,3556387
7,000009,2018-03-29,0.008319467554076532,0.004991680532445919,0.1711004161988303,10926.0,107843.6710414341,1235,26999376,26872317,1011263,1298497,4719789,4385849,6354153,3818582,4129798,3557041,2977667,1715585,2325200,2647159,2251271,1715429,3230235,7734175
8,000010,2018-03-29,0.0022421524663676085,0.008968609865470878,0.1668108024276099,4490.0,31753.563285628436,715,5357980,4869936,837204,484340,1975887,2370967,982905,1149712,527002,415968,251214,448949,325863,0,457905,0,0,0
9,000011,2018-03-29,0.056020605280102886,0.051513200257566005,0.35612840163037485,20852.0,134781.78836961606,1904,42652499,67175408,1508043,1437153,8774201,9556552,8066031,10169016,9274436,12180284,5513371,7102915,2952717,5610890,2262322,2594004,4301378,18524594
