,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2017-11-10,-0.0056588520614387905,0.0024252223120453387,0.20983231954414017,161980.0,862252.7607896104,3480,738078873,718533756,460597,545832,7787536,9544760,17346877,16893744,43109233,46268686,47171309,44259597,34088133,41713783,41477114,32856137,546638074,526451217
1,000002,2017-11-10,-0.003260869565217428,-0.0036231884057971175,0.48212082477306495,69275.0,370223.64945272583,3279,249238059,306546535,679286,1250817,11289558,14202770,17824177,28623087,29474010,47639170,24983379,36342347,21445316,23813939,15620322,20795874,127922011,133878531
2,000004,2017-11-10,0.10012728044123875,0.10012728044123875,0.6482237417821606,20456.0,692368.0761596371,1323,74701772,33671325,799756,858759,7231807,5933293,5346902,7008320,6017369,7008837,3494175,4454974,2086252,2602408,2127187,2842106,47598324,2962628
3,000005,2017-11-10,0.0,-0.006465517241379226,0.18874153813747302,6690.5,41069.863483856076,604,7920659,4885848,696876,568320,2523683,1729408,1717797,979538,2101015,612896,881288,230459,0,326388,0,438839,0,0
4,000008,2017-11-10,0.011223344556677839,-0.001122334455667784,0.3011575274279735,8930.0,104599.97085785029,875,18945421,12211690,1008810,931588,3518304,3270966,1944500,1636298,2171296,2627384,1361792,658089,2484134,0,1757649,887718,4698936,2199647
5,000009,2017-11-10,0.004993757802746579,0.0037453183520599342,0.20080647071456983,12847.0,116682.65215597079,1592,45433645,34919067,1511103,1495669,5855217,6184199,5500070,6932720,8371187,8118834,4158186,4423532,3339077,2028919,3214364,1294234,13484441,4440960
6,000010,2017-11-10,-0.008250825082508184,-0.008250825082508184,0.12319163693947195,18075.0,92157.26591257316,2426,68481292,38996028,2061178,1518445,13955672,11014012,12670000,10296936,13089531,7130955,4879905,2808500,4958179,1628707,1778104,1773707,15088723,2824766
7,000011,2017-11-10,-0.004761904761904745,-0.0031746031746030523,0.49624021569858223,16969.5,72363.94727570919,1450,34418766,21793980,1067669,1747613,7850411,6687166,7181727,5732827,7423069,4819021,2211552,1255818,4093671,611816,1801246,414375,2789421,525344
8,000012,2017-11-10,-0.014354066985645786,-0.004784688995215225,0.22329018427361708,12419.0,107462.88294998392,1402,42393606,24098891,1383914,1315478,6419084,4809075,5745486,3581815,7387544,3499019,5869936,2612796,3084073,2081280,3876870,1289201,8626699,4910227
9,000014,2017-11-10,0.0,0.0,0.8618202606870697,14382.0,37266.621035632576,345,5312930,3237993,300448,375992,2043432,1436960,1064429,868446,1185945,261827,718676,294768,0,0,0,0,0,0
10,000016,2017-11-10,0.013947001394700065,0.015341701534170138,0.1328595999942771,40726.5,270039.8377348097,2928,178263606,197189623,1443261,1469973,11903165,11080915,16646200,13535816,28180674,25769051,21686341,22593836,18394313,18784022,12963660,15555740,67045992,88400270
11,000017,2017-11-10,0.0013642564802183177,0.005457025920873049,0.32433399716145256,7380.0,33959.820117598414,510,3969388,5997872,699100,622563,1438825,1754369,1035313,1572919,575189,1065089,220961,982932,0,0,0,0,0,0
12,000018,2017-11-10,-0.00835654596100277,-0.0027855153203342198,0.22693013974802806,9996.0,68049.06696513308,1001,19586249,10461091,944014,824258,5584207,2532262,3890733,2475973,3308970,1330796,1589469,1174722,1731824,359142,427800,0,2109232,1763938
13,000020,2017-11-10,0.0011494252873565092,0.005747126436781658,0.5327780489176144,12278.0,68421.32179577656,1066,14952131,13687927,981791,1187582,4826471,5732797,3015188,3107296,1782549,1824902,663236,449708,378400,0,447040,0,2857456,1385642
14,000021,2017-11-10,0.008999999999999897,-0.0050000000000001155,0.1808437600080083,38114.0,275938.6946677009,3063,188100933,153525303,2129175,919711,13858478,10352832,17212878,15406401,30834885,25764305,23281035,18230886,14015037,16907562,9604746,16323034,77164699,49620572
15,000022,2017-11-10,0.006854838709677402,0.00887096774193541,0.7725786054338647,24765.0,92704.9541798389,1030,25009469,28801010,647298,740706,6077173,4837193,4775948,4914200,5239269,6731654,2450198,5044384,2464012,2579142,1368948,950977,1986623,3002754
16,000023,2017-11-10,-0.008939974457215727,-0.018305661983822885,1.0665338213941937,11745.0,62225.98385077823,485,10580752,4567309,343573,486432,1974077,2033734,2326218,855213,2377718,484640,1893739,707290,0,0,453100,0,1212327,0
17,000025,2017-11-10,-0.013409090909091037,-0.009090909090909038,0.986107574466793,21800.0,76612.55860673066,1991,53259020,36095097,1564788,1825918,11523460,9066462,12184620,7267410,11366400,7818509,6878884,5372022,2783504,1887230,2283659,1313700,4673705,1543846
