,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2017-10-27,0.033065236818588195,0.029490616621983934,0.19317661569713976,96406.0,880672.0354432833,3359,453199685,721094494,588490,594867,9314008,10005741,23393233,29428038,35695593,43341938,29576306,36250118,20672645,32326663,23488322,23055586,310471088,546091543
1,000002,2017-10-27,-0.0072202166064981865,-0.010108303249097395,0.47119127628803303,108420.0,789456.7626206735,3458,449269004,507478106,535195,836212,10679136,10801870,21329131,20474339,50211662,41295527,43640277,32704391,33083648,32895515,31531555,31468039,258258400,337002213
2,000004,2017-10-27,-0.028834601521826153,-0.020024028834601526,1.1523240460785398,9924.0,58679.14139922691,469,8815149,4329989,535716,559719,1835472,2094847,643493,917971,1865321,509452,1537920,248000,1003910,0,1393317,0,0,0
3,000005,2017-10-27,-0.006134969325153228,-0.004089979550102152,0.19220611069943447,6832.0,56982.59001288115,647,8387799,6387998,838962,618290,2917798,1987030,1382409,660585,1647833,580856,222559,1350431,364763,0,427875,498779,585600,692027
4,000009,2017-10-27,-0.019767441860465085,-0.019767441860465085,0.19376774365828892,12794.0,192521.98234509837,1971,80990860,37008433,1747780,1311810,8560516,7137505,8102294,7326161,9784211,8628665,5818995,2281930,4430961,1069646,4312180,923949,38233923,8328767
5,000010,2017-10-27,-0.033639143730886834,-0.041284403669724856,0.1153909869101249,34815.0,223132.28394116554,3223,163457317,138972930,1461192,1660410,15378850,14539617,19875889,17814494,30893406,31153245,16936086,18129574,9410703,12529669,10772046,9078995,58729145,34066926
6,000011,2017-10-27,-0.009278350515463885,-0.004639175257731942,0.5706484983780393,19380.0,67404.30311000878,1155,25328391,17588644,1123598,951966,7273046,5889125,6119101,4205639,4646331,2823342,2348105,1386815,725349,1367080,891227,0,2201634,964677
7,000012,2017-10-27,-0.003658536585365746,0.0012195121951221743,0.2394235706975857,8240.0,119596.72167056776,1173,21145330,17809289,1160009,1636495,4028246,4305776,2974087,3012227,3037310,3321921,2031353,1162088,1254180,306979,935042,873034,5725103,3190769
8,000014,2017-10-27,-0.0012202562538132788,-0.0012202562538132788,0.8592165558676007,8164.0,47531.36584558735,363,4892640,4245664,447774,310454,1830454,671663,1422726,883724,967022,812569,224664,495194,0,652552,0,419508,0,0
9,000016,2017-10-27,0.0034129692832762792,0.0034129692832762792,0.19732623171630279,12892.0,67023.77044183912,882,14835267,14350271,733292,600033,3612106,4238482,3424515,2053488,3613842,3185276,2392425,1878542,647715,673550,411372,0,0,1720900
10,000017,2017-10-27,-0.00917431192660556,-0.00917431192660556,0.3296312605432468,6056.0,45425.54641531222,535,6821247,3417209,792943,404077,1823028,1267091,1501785,866198,1067315,425643,682416,0,0,0,953760,454200,0,0
11,000020,2017-10-27,0.0194959581550167,0.015691868758915817,0.5876787992549587,21350.0,67935.81185302512,1280,25882107,27999415,1029900,653811,6404033,6711152,6729788,6232351,5579469,7450542,2978552,3626951,1771965,2046151,0,426457,1388400,852000
12,000021,2017-10-27,-0.014989293361884481,-0.011777301927194839,0.22903762699954025,9230.0,93847.47080541217,1664,27651401,14439498,1565351,1204137,5834829,6371139,3760053,2177855,5363453,3115975,2558260,810812,1435583,0,1856135,0,5277737,759580
13,000022,2017-10-27,0.0007627765064834868,-0.003432494279176246,0.8155861509071592,18466.0,103477.77033017612,1033,25050795,24982164,736919,530345,4664669,6112256,6087541,3523447,3730336,3904357,3455659,3575091,962838,3492441,412464,493876,5000369,3350351
14,000023,2017-10-27,-0.006868686868686913,-0.004444444444444473,1.2714573534669902,12380.0,53706.72103932834,378,5971405,3869876,477869,326709,2086629,1334229,1081805,1485960,1255639,722978,224406,0,0,0,0,0,845057,0
15,000025,2017-10-27,-0.0009009009009008917,-0.0009009009009008917,1.1029139022383605,17840.0,57904.23073998921,1620,35935902,26300439,1539036,1548037,9271018,8708338,8041454,6718640,8392589,4836574,3496966,3117750,3782052,311920,885327,0,527460,1059180
16,000026,2017-10-27,-0.02165196471531683,-0.010425020048115519,0.45271871302482614,13541.0,74366.62123872533,758,17773420,9292272,575972,673843,4397724,3763616,3743146,2379557,3583011,1435680,960783,259530,1362006,308750,0,471296,3150778,0
17,000027,2017-10-27,-0.0046511627906976605,-0.0015503875968991832,0.24669611096539576,5160.0,132644.3060160542,683,13472241,5090475,960535,471192,2286600,1391603,1405957,1359792,1004770,1198938,989254,236155,0,0,0,432795,6825125,0
18,000028,2017-10-27,-0.004286939125464406,-0.0031437553586738387,2.1564437069766025,13960.0,77945.94290467656,1053,23067819,11831334,2078971,659942,7110343,3099849,2288905,2229143,3082652,1592181,2297838,468186,1484088,1355315,1309310,438228,3415712,1988490
19,000030,2017-10-27,0.0,0.0034129692832765013,0.24323659007543927,5310.0,57018.111161868335,1306,13831968,19263634,848272,1222523,2927469,6695977,2397555,4072234,3091554,3641357,1128507,1707586,1027505,1057042,0,866915,2411106,0
20,000032,2017-10-27,-0.010284810126582333,-0.013449367088607556,0.5665036630531372,11268.0,50971.56368929308,497,9334655,4034166,417998,463911,2815995,1414340,2354619,714427,2065002,625333,249600,0,993941,309500,437500,0,0,506655
21,000036,2017-10-27,-0.014329580348004023,-0.0092118730808598,0.24121657328462867,14475.0,132897.13813570532,1641,56022874,31503906,1273152,1453277,6444217,6535486,7854181,6717602,9146658,7690424,6679733,2705505,2752447,2375007,5545585,1418754,16326901,2607851
22,000037,2017-10-27,-0.005931198102016477,0.008303677342823335,0.43899795878951536,10887.0,64103.53143184685,368,7091382,5407756,294502,416914,1513081,1235362,1566634,847364,2026574,597118,741736,717078,948855,718848,0,875072,0,0
23,000039,2017-10-27,0.0,-0.001585623678647008,0.4055065337503242,24684.0,197751.82668754063,2177,88370462,88326297,1974597,878101,11518015,7561871,11386686,9157157,14577786,13756598,9242546,8603090,6554218,5890203,4420095,5412170,28696519,37067107
24,000040,2017-10-27,-0.0013333333333332975,-0.004666666666666708,0.5501702147843522,12698.0,164986.16889172906,746,23474014,15996080,654017,543977,3300758,2720769,3272930,2666945,3101547,1363994,2452460,926322,1776332,700445,468720,449700,8447250,6623928
25,000042,2017-10-27,0.004184100418409997,0.002988643156007109,0.7472386788468383,6740.0,47847.16032266455,501,7157026,4123157,506512,402275,1657926,1342201,1036725,994783,2286009,619630,226366,764268,1023738,0,419750,0,0,0
26,000043,2017-10-27,-0.016361886429258843,-0.015399422521655493,0.5277529741561531,9306.0,104230.39316469553,387,12450948,3972197,209872,460526,944663,1455271,888330,1116275,1480454,736427,2104978,203698,2683342,0,0,0,4139309,0
27,000045,2017-10-27,-0.013274336283185861,-0.009734513274336387,0.3861465200423598,16815.0,138314.9177614685,856,27232688,12330135,655104,573722,3683875,5204179,3364117,2937352,3479250,2119110,1725008,1159555,3131407,336217,2245935,0,8947992,0
28,000046,2017-10-27,-0.0036855036855037993,-0.004914004914005066,0.4187272878191169,13770.0,107078.38206167462,377,9391547,6095732,361006,354076,2347787,1186527,1424475,1570542,1425176,937775,1153915,426812,1024680,0,434695,0,1219813,1620000
