,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2018-02-28,-0.004132231404958553,0.002479338842975354,0.20552266781110917,141836.0,690871.7215756986,3470,585630555,589870597,484571,644048,7737964,11161350,14550222,19509116,55412815,54869058,47836729,47242674,29814436,42720329,32970504,33757949,396823314,379966073
1,000002,2018-02-28,0.005844355582897753,0.014149492463857216,0.5463611996771877,164832.0,631398.4313962202,3542,647745243,636699137,568738,442004,7986997,8427893,18165744,19816896,39078097,49469442,41148061,47527642,46602223,48005511,33701305,38375736,460494078,424634013
2,000004,2018-02-28,0.004878048780487809,0.004878048780487809,1.1025398491132137,10260.0,33666.73949984648,345,3289684,3489883,179357,313412,1547382,1849166,739586,289382,236962,832223,268157,205700,318240,0,0,0,0,0
3,000005,2018-02-28,0.0079155672823219,0.01055408970976246,0.15760052693580792,3820.0,52808.41061448085,578,3625519,6879137,492773,675636,1573543,1437892,624007,1198470,482950,595937,452246,247212,0,745184,0,890369,0,1088437
4,000008,2018-02-28,-0.0052631578947368585,-0.002631578947368318,0.2036644790226654,10528.0,278562.1863351205,1393,32230410,48704179,353059,2467619,3551505,7869870,2311131,4905765,2138917,5407004,2656752,2923805,2162827,2340630,401250,4856331,18654969,17933155
5,000009,2018-02-28,0.028960817717206044,0.028960817717206044,0.13188547871645218,12936.0,156006.1995008011,1987,52960338,61852499,1348993,1743349,6557368,8098042,6504247,8293884,7926036,10007159,5541720,4259231,6367269,7201154,3539556,3477529,15175149,18772151
6,000010,2018-02-28,0.06459330143540676,0.045454545454545636,0.1032445856614603,9282.0,201049.60487411672,1647,27140126,34210428,1310198,1744984,5839611,6290151,4548511,5512994,5599531,4184651,3013865,2036932,2072299,1692839,1418178,898554,3337933,11849323
7,000011,2018-02-28,0.0071428571428571175,0.0051948051948051965,0.47744591533597386,12332.0,42713.225782808215,1040,13536281,13602040,933828,990197,4344875,5197842,3574951,3271240,3347840,2650695,984417,224840,350370,685826,0,0,0,581400
8,000012,2018-02-28,0.012674271229404344,0.016476552598225558,0.21379224438630945,12847.0,106708.07263719782,1363,25505747,35548425,1043994,1861327,4516916,6552233,4298113,5930529,5690723,6427688,2823873,3396363,1658341,2655607,1757485,2196997,3716302,6527681
9,000014,2018-02-28,0.02117420596727615,0.020211742059672577,0.3240370448299334,10480.0,57373.26560373026,1029,12256057,15868076,683768,1174022,3993154,5011079,2897244,3999964,1599070,2363859,720577,1398202,999205,395200,416639,446022,946400,1079728
10,000016,2018-02-28,0.013559322033898313,0.013559322033898313,0.18889280572649425,10123.5,76687.41028719906,976,16611449,19082171,811204,868027,3566008,3445281,2137000,3763749,4590500,2996650,2486235,2860549,662840,1440626,1713071,1720582,644591,1986707
11,000017,2018-02-28,0.0037037037037035425,0.0,0.3144816290154313,5390.0,33381.61225793196,294,2394797,2720449,214739,282214,799609,1053613,442212,698930,464949,685692,473288,0,0,0,0,0,0,0
12,000018,2018-02-28,-0.01803278688524579,-0.014754098360655665,0.1393838852026959,12642.0,120542.35934946842,1919,47312765,30746093,1845141,1457139,9368319,7489127,6543449,6733102,6706203,8566048,3763425,1831890,3732967,998259,1335916,0,14017345,3670528
13,000020,2018-02-28,-0.00535236396074934,-0.002676181980374781,0.6318483023412248,7794.5,31585.164067792637,314,2715465,2577106,301259,292545,1168743,1304034,527752,414130,385011,309526,0,256871,332700,0,0,0,0,0
14,000021,2018-02-28,0.03206650831353919,0.028503562945368266,0.16685127146809212,26130.0,170799.53266987082,2552,96782400,98944619,1491684,1992257,11932095,11599926,14773787,12570359,20999898,17460508,12395401,9896132,8355542,5410375,6299791,5389251,20534202,34625811
15,000023,2018-02-28,0.01073910296904601,0.010107391029690493,0.7161159544250322,3186.0,29215.329760629713,488,2643824,3133003,264244,743301,1023091,1343178,130625,165496,929464,596776,296400,284252,0,0,0,0,0,0
16,000025,2018-02-28,0.0020600353148911843,0.0032371983519718928,0.8387360525846841,17082.5,80586.44347140458,1642,34724322,32018247,795166,1268693,7551837,9321620,8106203,7115563,6896809,6845367,4771184,2438019,2807601,1745641,1333812,443170,2461710,2840174
17,000026,2018-02-28,0.015732546705998107,0.01179941002949847,0.522456001371031,7657.0,37969.35740063982,378,3038604,3829502,267726,442284,1444265,1053214,687263,781974,373420,690352,265930,406578,0,0,0,455100,0,0
18,000027,2018-02-28,0.0,0.0,0.1827752932075646,5640.0,44428.9218093127,956,6891728,7379226,1035337,1155110,2075297,2215102,735078,1658842,715310,1216217,220632,688735,0,0,850146,445220,1259928,0
19,000028,2018-02-28,0.009289031797070413,0.006252232940335833,1.859694963143579,16770.0,124541.49140343224,907,20476471,30313980,531299,898013,3014262,4073064,2296384,3368229,4351661,14181412,1454281,1461878,1338976,1274645,879737,868620,6609871,4188119
20,000030,2018-02-28,0.0026917900403768957,0.0013458950201885589,0.24684075201573477,5936.0,74926.36868846431,906,8296223,9653007,981242,1347794,2666049,2279515,1988836,906561,979804,1307032,262362,708453,608192,346536,809738,886856,0,1870260
