,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2018-02-08,-0.02260327357755265,-0.01247077162899457,0.21522043025460527,224932.0,1282699.6108230175,3560,1045013391,1050893878,147576,253298,5650112,6507699,15737128,18443518,47459627,51806410,40574476,49962080,43664325,45480693,36644068,47516174,855136079,830924006
1,000002,2018-02-08,-0.007575757575757569,0.006363636363636349,0.5568440329037976,178821.0,695550.8820577412,3520,634774272,709442209,196429,382511,5584625,7626669,17662760,18237094,49907849,45132833,52512959,46976930,50462345,39977349,50757108,40233894,407690197,510874929
2,000004,2018-02-08,0.010595358224016138,0.00908173562058523,1.2511802428107632,10000.0,29013.513058721044,250,1926855,2140507,169276,322149,962715,1590632,396664,227726,0,0,0,0,398200,0,0,0,0,0
3,000005,2018-02-08,0.016438356164383494,0.013698630136986356,0.17029625788856162,3680.0,28014.41246810694,459,2500825,3146599,383941,507469,1076686,1037606,454596,381355,585602,780321,0,439848,0,0,0,0,0,0
4,000008,2018-02-08,0.002617801047120505,-0.0013089005235601414,0.21387961103696235,4584.0,30771.7787850776,1277,7058950,11962948,913624,1817611,2728366,4690271,1432846,2455467,1168466,1912915,815648,434809,0,651875,0,0,0,0
5,000009,2018-02-08,0.07977736549165138,0.07421150278293132,0.11478800422055922,12457.0,96575.40482119263,2212,31492518,60076381,1363586,2707388,7435085,9924741,6264680,10433486,7259986,11861356,3843032,8771607,996364,5222870,1435694,1299361,2894091,9855572
6,000010,2018-02-08,0.007371007371007154,0.014742014742014753,0.12672655806499583,4521.0,52647.37999226572,1033,9258378,12848983,813155,1240135,2458819,4063747,991535,2173806,1026256,2200306,2863512,1247547,0,1312897,473600,0,631501,610545
7,000011,2018-02-08,0.009296148738379806,0.009296148738379806,0.43474251638821293,9066.0,41319.25988575016,1200,12985922,10101413,1887089,1131132,4885966,3833529,2366584,1711748,1826614,1254007,475715,258063,702978,1404776,840976,0,0,508158
8,000012,2018-02-08,0.010178117048346147,0.010178117048346147,0.1990052348256579,13447.0,100816.23737945763,1561,34631852,38109828,740316,2113365,5484869,7391452,5062445,5447784,6905733,6658297,5967517,2852859,4157621,2747011,2153208,3905275,4160143,6993785
9,000014,2018-02-08,0.026068821689259725,0.02085505735140769,0.35935391364615604,9303.0,42373.92142508982,712,8088898,7601000,785201,885354,2331585,2573486,2013865,2074652,1945437,489587,1012810,432532,0,673047,0,472342,0,0
