,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2017-12-21,0.0273141122913505,0.0273141122913505,0.22104129663010774,191055.0,914981.803369129,3559,733914658,919302933,207585,282767,5847137,6281468,17080182,24276000,44477890,58267783,51083460,68442608,34561216,49149193,37138988,38667819,543518200,673935295
1,000002,2017-12-21,0.03481894150417819,0.04352367688022274,0.48362040146972013,199114.0,694510.407743692,3528,631356951,754479961,309543,302703,8216870,5613895,18008178,17375715,51115573,38546196,48299724,47079569,60216198,58131943,46811275,45779910,398379590,541650030
2,000004,2017-12-21,0.0018181818181817189,-0.013636363636363669,0.7563851590620929,10850.0,49266.17056886473,854,11902944,8641733,781909,777475,3894008,3829735,3021874,2306243,2231342,588734,980211,708596,0,0,0,430950,993600,0
3,000005,2017-12-21,0.014634146341463428,0.007317073170731714,0.18982766755597935,4100.0,55739.94152531649,466,4534650,2526897,444416,490214,1318551,1000606,520872,355590,145140,680487,0,0,675762,0,0,0,1429909,0
4,000008,2017-12-21,0.002366863905325589,0.00591715976331364,0.2668029509914044,5070.0,70214.66161312819,1003,13286476,9820600,1155998,1116797,2960060,2594948,1507867,1745501,1874806,2130986,252900,644720,1060395,340000,1269050,1247648,3205400,0
5,000009,2017-12-21,-0.0056022408963585235,-0.0014005602240896309,0.1670450499320608,11296.0,87742.66236282379,1829,35240187,32067851,1432816,2118466,7424325,7750175,8015200,5243350,6612167,5972067,2772296,3243019,3121848,2192078,1331988,3205778,4529547,2342918
6,000010,2017-12-21,0.033582089552238736,0.035447761194029814,0.12189287189894966,12788.0,74924.19372656016,1939,25049953,46262771,1345602,1763390,6339662,11057808,4623928,8811305,6456541,8583126,3882400,5264702,360195,3023629,912221,1735499,1129404,6023312
7,000011,2017-12-21,0.0035693039857229714,0.008923259964306984,0.5166770069588712,15106.5,39318.46803197069,1058,15804476,11682232,946915,908083,6254639,5202900,4044074,2132952,3343058,1942649,1215790,1014548,0,0,0,481100,0,0
8,000012,2017-12-21,0.009864364981504226,0.008631319358816336,0.1940867371166541,13770.0,113827.7819897109,1747,37858757,41949115,1234756,2317866,7148013,7685709,5077395,7080881,4100510,8844850,6451699,6513211,1727705,2323249,2660841,2137102,9457838,5046247
9,000014,2017-12-21,-0.011009174311926717,-0.005504587155963359,0.34631493405155234,10800.0,47698.74279276881,991,14131244,12208869,850355,983689,4467639,3857584,3464098,2917772,2777438,2255846,1736348,1207659,0,0,835366,400975,0,585344
10,000017,2017-12-21,-0.0030211480362538623,-0.006042296072507614,0.4022494295415837,9847.5,43681.48317000308,270,4188081,2219655,325838,217804,1338901,609236,867732,365094,1146166,505447,509444,522074,0,0,0,0,0,0
11,000018,2017-12-21,-0.01562500000000011,-0.007812500000000111,0.18662098695205506,9420.0,61124.07026739204,1177,18876590,15539363,1010066,1398321,3859732,5281939,4021626,3058606,3458608,3354006,2196030,1443715,992585,1002776,839348,0,2498595,0
12,000020,2017-12-21,-0.008102633355840716,-0.0027008777852802757,0.6094514751363067,10192.0,30352.498437261856,590,5960613,5067800,593795,556454,2406822,2670277,1177559,1189624,1440095,436387,0,215058,342342,0,0,0,0,0
13,000021,2017-12-21,0.027111574556829998,0.023983315954118956,0.18967621819964958,29520.0,208346.98160173444,2559,90639329,112234289,2062417,1538412,13085288,11183455,14630238,16377894,19327582,23796967,8897297,12994990,6912083,6929148,5437949,6745091,20286475,32668332
14,000023,2017-12-21,-0.002409638554216831,0.005220883534136744,0.5943898851240298,25680.0,311910.0661536537,1759,60126432,101726455,602458,1444254,5218243,8335754,6160882,10761379,13090795,13911354,11244681,9158808,4513390,6903589,2199766,6837807,17096217,44373510
15,000025,2017-12-21,-0.004094165813715356,-0.005629477993858711,1.0469240958813932,15352.0,61660.16344376527,1393,24485209,20614553,887368,1706762,6628804,7786603,3125000,4478337,6322460,3915083,3168987,1081649,1493889,365559,899112,474580,1959589,805980
16,000026,2017-12-21,0.022956841138659367,0.022956841138659367,0.3538071038769437,11030.0,54707.90544640203,947,11749462,12594540,1399219,524478,4326661,3833830,2111633,3260626,2501101,1588281,768152,221703,642696,709955,0,450359,0,2005308
17,000027,2017-12-21,0.0033112582781456013,0.004966887417218624,0.1698373404494403,3642.0,69392.23934861994,1265,12900773,12628842,691239,1977350,2557624,2520338,2447370,2754573,2425670,2533938,1107954,1327937,1040154,302706,0,0,2630762,1212000
