,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2017-09-26,-0.018650088809946674,-0.019538188277087087,0.20122790708309643,63726.0,781501.9692000186,3135,422529880,319082137,524626,953396,9937504,11249269,35030507,20683121,37462881,28413353,23287446,22271936,14099569,14680389,24126662,13551195,278060685,207279478
1,000002,2017-09-26,0.024502297090352343,0.021822358346095028,0.45175124833320945,146575.0,891777.4265087334,3348,545281807,706485867,351947,729297,6601598,6510544,18231524,19686118,48928681,39785486,43651309,41210438,38455624,31542382,29720105,28616700,359341019,538404902
2,000004,2017-09-26,0.011671529804085035,0.01125468945393937,1.0249536290287082,12150.0,222197.04578650303,548,10314374,21442793,548576,529444,2819978,2103517,2021307,1179714,1843639,1376844,757770,456689,0,330444,0,1858112,2323104,13608029
3,000005,2017-09-26,-0.001980198019801982,-0.003960396039603853,0.1633688059603517,5060.0,50004.43720389079,956,11683155,7708045,909454,857815,3216393,2741862,2668809,1355485,1811065,1198245,481013,0,1699896,378504,896525,0,0,1176134
4,000007,2017-09-26,0.06973684210526332,0.03815789473684217,0.5435748570693186,17341.5,102212.57411702427,782,18536647,22405455,823818,476674,3746583,3181514,3240115,3015090,3766710,5171085,2421095,2097700,3086665,2770999,891171,426330,560490,5266063
5,000008,2017-09-26,-0.01687289088863897,-0.019122609673790758,0.27177494825642345,9729.5,76529.30613131107,1070,24444220,10343896,1119675,1041001,4734781,3328002,5202885,3975555,4357491,1230178,2468357,239360,661500,0,844560,0,5054971,529800
6,000009,2017-09-26,0.007882882882882747,0.005630630630630407,0.17359994848182148,17920.0,177684.79637805725,2619,72939718,126368712,1055282,3088142,6760973,13807670,9221708,12224372,14219638,17355399,9010920,12724273,7259632,11707825,4880245,12495059,20531320,42965972
7,000010,2017-09-26,-0.007827788649706457,-0.00391389432485334,0.1973897999528286,10160.0,61861.96067531139,670,10407742,9090924,574381,531176,2459240,2890969,1733262,2373707,1427734,1583381,1948373,983005,352044,0,897294,0,1015414,728686
8,000011,2017-09-26,0.01048218029350112,0.009958071278826086,0.4689701577527537,21164.0,122569.15579966086,1655,41243312,49287479,1176846,1574087,7669685,9461072,7685096,9201587,9370712,9468209,5261873,5591142,2090647,1631367,1881863,849570,6106590,11510445
9,000012,2017-09-26,0.0,0.0,0.24768363148724262,11704.0,93524.51266643291,1139,26427870,19936284,810557,1485174,4034071,5650200,3250312,4380180,3579101,3570266,2725522,1003695,4082583,978804,2690198,1737487,5255526,1130478
10,000014,2017-09-26,0.003010234798314304,0.0012040939193256328,0.7821877142009542,14998.5,127644.7179681298,450,7026210,9003489,383087,485383,2988325,2225131,1441833,1717302,873956,783841,524790,289884,360220,0,453999,0,0,3501948
11,000016,2017-09-26,-0.019434628975265045,-0.007067137809187329,0.15179123444955064,11718.0,95440.14905254125,1393,29079131,31196023,946202,1283885,4393232,6677579,4818434,6502950,4102510,7130198,3217459,2942844,2153613,2447476,2695792,447984,6751889,3763107
12,000017,2017-09-26,0.0,-0.0038510911424903815,0.4461498884810908,9372.0,64929.94598502316,304,5960491,2843179,278519,363770,1289126,1018253,1302303,866382,732475,594774,480967,0,1099101,0,0,0,778000,0
13,000018,2017-09-26,-0.00996264009962633,-0.00747198007471972,0.22586795690934136,14400.0,98716.28883114367,1264,28636059,27893609,1126688,1330068,5641122,6426093,3959450,4078149,3974517,6077665,4688849,2986737,2047164,1368420,2195977,811030,5002292,4815447
14,000020,2017-09-26,-0.00736842105263158,-0.01000000000000012,0.6472322301384378,9375.0,70910.6471532372,862,16389252,7456627,1611289,728710,2869844,2828462,3120589,1335640,3000559,1794287,1965950,239104,380000,0,850190,0,2590831,530424
15,000021,2017-09-26,-0.010752688172043112,-0.016129032258064502,0.20851902933931757,12992.0,134047.37007921826,1991,60640454,39976777,1411442,2343740,7758358,9203204,7372619,5756193,9140011,7687099,5970379,5581855,5491488,2821104,3507036,461160,19989121,6122422
16,000022,2017-09-26,0.007114624505928813,0.0007905138339920903,1.0211172877897225,15347.0,64985.86626491159,613,13681917,7694301,225998,574135,2667443,3435556,3031669,2025876,4047534,1184594,502018,474140,733504,0,0,0,2473751,0
17,000023,2017-09-26,0.012658227848101333,0.010548523206751037,1.4224351581879031,11985.0,81738.40218972259,277,4154218,4643695,237419,277899,1343717,961561,715259,734529,564925,539801,494322,0,327352,672185,471224,0,0,1457720
18,000025,2017-09-26,0.0042687036620985275,0.007638732869018172,1.1268116076072616,22140.0,81818.48083032547,1560,32122175,37057155,1329413,1723998,7955783,8666552,7601258,6452362,6800297,6948387,2536157,4436766,1679520,2814711,1340640,1356928,2879107,4657451
19,000026,2017-09-26,-0.0017391304347825765,-0.003478260869565153,0.36930256259324984,3444.0,42150.479724339355,969,10174904,5559033,1079708,721755,2099912,2044722,2077509,1603086,1839494,1189470,972514,0,1056212,0,421632,0,627923,0
20,000027,2017-09-26,-0.0015552099533436836,-0.0015552099533436836,0.24831276313538997,5136.0,63643.9197064878,670,8509610,5774264,651124,760424,1916665,1448014,1205810,1575014,1385416,1199134,276912,419257,0,372421,912529,0,2161154,0
21,000028,2017-09-26,-0.0007429420505200568,0.0026745913818722045,2.638504570001189,13502.0,81608.57394952327,650,15142860,10498999,1069447,350141,3397681,2575728,1818734,1973180,3067889,2456023,1118618,894623,1627068,698524,0,898940,3043423,651840
22,000030,2017-09-26,-0.009049773755656076,-0.011312217194570096,0.24106178733372538,12278.0,47486.780292830044,1345,20684347,7948291,928012,961062,9478740,3302075,2630768,1554129,2704126,1136058,1477278,555848,2067490,0,0,439119,1397933,0
23,000032,2017-09-26,0.00540540540540535,0.006949806949806847,0.4860832884626501,13060.0,87645.5705031603,709,12895934,11715755,678499,560054,3440812,4026433,1778762,2069513,1640579,1911926,783190,1007279,617727,1501100,910709,0,3045656,639450
24,000034,2017-09-26,-0.007299270072992803,-0.00583941605839422,0.6267851046572718,8228.0,98758.000507275,1075,19667850,13803340,672392,1189137,4140744,4192227,2674219,2101192,3260812,2369794,2057259,1314514,0,312872,0,1735079,6862424,588525
25,000036,2017-09-26,0.009756097560975618,0.005853658536585371,0.2327707471301406,17552.5,182143.52675992987,1940,55823522,58883131,887923,1745426,7071308,9539642,9304404,7958597,9541303,10266832,6128734,5747356,5877803,2349802,3548404,3140303,13463643,18135173
26,000037,2017-09-26,-0.012471655328798126,-0.00793650793650802,0.3742643223340442,8740.0,63450.600993305474,555,9467064,5545597,690516,652949,2293051,1777770,1760457,987724,1944062,1182668,244640,944486,1051185,0,0,0,1483153,0
27,000039,2017-09-26,0.02857142857142847,0.027428571428571358,0.3448618084372191,19778.0,138550.12210028007,2577,62886927,78765402,3501112,1786059,10551549,16561801,8539065,8200316,10900574,11604256,7032804,9097707,6458172,5104396,2977367,4628314,12926284,21782553
