,code,date,pchange_whole,pchange,change_std,amount_median,amount_std,length,sumsell,sumbuy,sell_vol_0,buy_vol_0,sell_vol_1,buy_vol_1,sell_vol_2,buy_vol_2,sell_vol_3,buy_vol_3,sell_vol_4,buy_vol_4,sell_vol_5,buy_vol_5,sell_vol_6,buy_vol_6,sell_vol_7,buy_vol_7
0,000001,2017-11-03,-0.00870322019147085,-0.0017406440382941035,0.20406567820467852,50534.0,474861.5790643557,3174,358823429,220503176,1404396,428608,19742445,11585692,23510839,15117701,39630826,22541489,26034997,14450581,19494921,13200059,15958434,13967970,213046571,129211076
1,000002,2017-11-03,-0.035579883681149505,-0.016763599042080135,0.5033581047424155,81620.0,431603.6925892923,3375,414564805,332502963,879245,601651,16239535,10119032,21984200,15235168,46662593,29532363,36201853,33021880,28417161,29883695,23617992,20506929,240562226,193602245
2,000004,2017-11-03,-0.01864406779661021,-0.010593220338983023,1.496090095313797,15232.5,44074.38879201721,248,4249712,2615677,180852,195160,1428617,1383679,694915,666504,1047838,370334,495440,0,0,0,402050,0,0,0
3,000005,2017-11-03,-0.015151515151515249,-0.01948051948051943,0.1606933523513311,5979.0,43122.83888575554,827,10657907,7017359,912698,858421,2770972,2650969,2486050,1442884,2394632,1069601,963208,687009,693547,308475,436800,0,0,0
4,000008,2017-11-03,0.007633587786259666,-0.026172300981461283,0.1922335524032957,15402.0,92599.96089326126,2280,68720436,29362136,2191136,1017021,19443735,5545539,8483944,4204513,11848245,6286588,8362102,5639211,4162221,1679058,3922421,2251392,10306632,2738814
5,000009,2017-11-03,-0.023869346733668362,-0.022613065326633097,0.17705972321506622,14229.0,220349.53455798895,2024,72797699,42889396,1479863,1922524,8063594,9087706,9082352,7448027,9574879,6542161,5344164,3091466,4973502,1728209,3595143,2315790,30684202,10753513
6,000010,2017-11-03,0.017211703958692093,0.010327022375215211,0.11770905608053193,27401.0,84914.60187723507,2443,51672836,68580472,1482197,1417595,9722351,16687497,11795277,19860362,10780683,14866014,6049769,5795678,3312199,2346435,2169159,2771438,6361201,4835453
7,000011,2017-11-03,-0.0005285412262157063,-0.004756871035941024,0.4733398080605283,17005.5,73205.96475480926,1598,36531203,25720946,1047595,1694358,8357117,7060749,7293901,5251656,9819268,5630091,3656463,2522066,3556373,633040,454960,1740661,2345526,1188325
8,000012,2017-11-03,-0.0011890606420926764,-0.005945303210463826,0.19606896816947966,12570.0,102868.11079553029,1841,44553295,33017494,2445021,1133096,7626751,7142672,8026492,6781362,8134007,6796785,4082523,4297957,2182608,3175638,1666729,2589252,10389164,1100732
9,000014,2017-11-03,-0.0012360939431396156,-0.00185414091470959,0.829006896358846,9666.0,44187.5895793138,380,4989650,2804849,640326,292069,2091663,1092660,862816,522385,428921,432944,0,464791,0,0,422082,0,543842,0
10,000016,2017-11-03,0.003350083752093891,-0.01005025125628134,0.19494809111624564,11800.0,96867.71824770734,938,19874905,17971323,613029,1221246,3385656,3762329,3112625,2507368,4667858,4361215,1287947,2088159,1795332,1715063,489225,0,4523233,2315943
11,000017,2017-11-03,0.001394700139470073,0.0069735006973501434,0.3376972974297514,7250.0,24788.29741208003,450,3561489,3686659,501611,561452,1831342,1427071,875905,924111,352631,568125,0,205900,0,0,0,0,0,0
12,000018,2017-11-03,-0.006896551724137945,-0.006896551724137945,0.2451924161488401,9360.0,52478.66314841199,874,14116361,8811226,797596,753549,3843328,4279660,2168664,1659621,3239067,1483914,2237609,272482,1035897,362000,0,0,794200,0
13,000020,2017-11-03,-0.08630559225011014,-0.0748568912373403,0.47723217554214187,45696.0,628179.7679058883,2331,148078730,189582408,231096,1525675,4162709,15549701,4790632,18262355,15166456,30074080,17209464,21427260,13073793,19220915,16574279,9931347,76870301,73591075
14,000021,2017-11-03,0.005488474204171423,0.003293084522502765,0.21271932053593606,12038.0,103576.31548771096,1836,37090831,37333505,2040883,1529470,8083144,7926444,7505501,4926747,6780680,5884794,3281988,3613704,2354334,2635673,1785865,411264,5258436,10405409
15,000022,2017-11-03,-0.006916192026037327,-0.0032546786004881145,0.7883005492933453,17101.0,58969.10513295527,972,16850290,17881135,969898,744036,4939894,5234242,4427290,3785104,3634826,2619566,1681216,2406283,741466,691004,455700,1892492,0,508408
16,000023,2017-11-03,-0.003923278116826467,-0.0017436791630340842,1.0424471648268325,11252.5,121685.38955735214,484,8633242,10668603,318150,520925,1703339,1757853,1671269,896542,2391684,2015878,449000,457361,0,372116,0,950378,2099800,3697550
17,000025,2017-11-03,0.002555168408826969,0.0039488966318235175,1.1291815933397042,13038.0,54559.72610867141,1453,24728044,22069928,1544526,1630890,7159580,7304493,6070155,4724733,4801079,4231665,2394984,1660659,1408403,1696771,1349317,820717,0,0
18,000026,2017-11-03,-0.005244755244755095,-0.0034965034965034336,0.4533624557863183,11480.0,98048.92402442695,636,11040282,7174397,509779,485521,2988153,2906439,1777383,2155247,1529465,1627190,1194401,0,757101,0,0,0,2284000,0
19,000027,2017-11-03,-0.001577287066246047,-0.001577287066246047,0.24686224347583177,6360.0,58709.91441536544,659,10171884,5808673,813191,449795,2762829,1436940,2674558,1175444,1822911,1301489,254000,243334,0,303530,0,898141,1844395,0
20,000028,2017-11-03,-0.035451197053406935,-0.02240638428483721,1.8599898780703203,12936.0,148981.0947061438,1227,45539538,24959873,1317722,1129759,4620480,5783050,4666804,4405969,5358512,3869354,2910846,1719290,4333486,1266749,1903343,1361928,20428345,5423774
21,000030,2017-11-03,0.0,0.004761904761904745,0.24138149186118726,6695.0,85237.21725199962,1213,14960558,17429890,808055,1333662,4268345,3713037,2989107,1696975,2979048,1981214,2370733,1888763,693346,688575,851924,1295318,0,4832346
22,000032,2017-11-03,-0.03511705685618738,-0.03678929765886296,0.38008667071409363,11500.0,46675.598069845146,991,15130406,10314489,759743,919542,4923552,3755581,3712998,2223153,4056753,2034318,1224953,220400,0,0,452407,424986,0,736509
